Id,Title,Location,PriceEuro,PriceKuna,Area,CijenaKvadratEuro,CijenaKvadratKuna,Posted,Link,Photo
44,"Kraljevica - 2SKL stan za najam, 52m2",Primorsko-goranska,270,2030,52,5,39,Objavljeno prije 24 h,https://www.index.hr/oglasi/kraljevica---2skl-stan-za-najam--52m2/oid/3247664,https://www.index.hr/oglasi/UserDocsImages/kategorije_NoIcon/nekretnine.jpg?preset=oglas-slika-view2
45,Najam u ulici kneza Višeslava,Grad Zagreb,1000,7517,112,8,67,Objavljeno prije 24 h,https://www.index.hr/oglasi/najam-u-ulici-kneza-viseslava/oid/3246515,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246515/XML-4107-266800_20211222010815984_0_.jpg?preset=oglas-slika-view
46,"OPATIJA, 27 m2, garsonijera, 200€",Primorsko-goranska,200,1503,27,7,55,Objavljeno prije 24 h,https://www.index.hr/oglasi/opatija--27-m2--garsonijera--200-/oid/3246501,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246501/9698-rent_20211222010745327_0_.jpg?preset=oglas-slika-view
47,Bačvice Split 1 soba najam do sezone,Splitsko-dalmatinska,900,6765,75,12,90,Objavljeno prije 24 h,https://www.index.hr/oglasi/bacvice-split-1-soba-najam-do-sezone/oid/3246486,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246486/0_2021-12-22-01-02-41-935.jpg?preset=oglas-slika-view
48,Garsonjera Bol Split dugoročan najam,Splitsko-dalmatinska,133,1000,12,11,83,Objavljeno prije 24 h,https://www.index.hr/oglasi/garsonjera-bol-split-dugorocan-najam/oid/3246487,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246487/0_2021-12-22-01-02-41-920.jpg?preset=oglas-slika-view
49,"SAVICA 88m2, Zvonimira Rogoza (ugodan 4soban stan)",Grad Zagreb,500,3758,88,5,42,Objavljeno prije 24 h,https://www.index.hr/oglasi/savica-88m2--zvonimira-rogoza--ugodan-4soban-stan-/oid/3246481,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246481/0_2021-12-22-01-03-01-435.jpg?preset=oglas-slika-view
50,RUDEŠ 50m2 - Jezerska (Lijep 2soban stan),Grad Zagreb,450,3383,50,9,67,Objavljeno prije 24 h,https://www.index.hr/oglasi/rudes-50m2---jezerska--lijep-2soban-stan-/oid/3246480,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246480/0_2021-12-22-01-03-01-482.jpg?preset=oglas-slika-view
51,"ŠALATA 87,50m2, Bijenička (luksuzan 4soban stan + parking)",Grad Zagreb,950,7141,88,10,81,Objavljeno prije 24 h,https://www.index.hr/oglasi/salata-87-50m2--bijenicka--luksuzan-4soban-stan---parking-/oid/3246482,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246482/0_2021-12-22-01-03-01-388.jpg?preset=oglas-slika-view
52,"MAKSIMIR - ZELENJAK - KOMFORAN, UREĐEN 4-SOB. STAN U KUĆI, 120 m2",Grad Zagreb,700,5262,120,5,43,Objavljeno prije 24 h,https://www.index.hr/oglasi/maksimir---zelenjak---komforan--uredjen-4-sob--stan-u-kuci--120-m2/oid/3246465,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246465/0_2021-12-22-01-02-40-373.jpg?preset=oglas-slika-view
53,"GRAČANI - Gračanskla cesta, PREKRASAN 2-SOB STAN U NOVIJOJ GRADNJI",Grad Zagreb,500,3758,50,10,75,Objavljeno prije 24 h,https://www.index.hr/oglasi/gracani---gracanskla-cesta--prekrasan-2-sob-stan-u-novijoj-gradnji/oid/3246464,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3246464/0_2021-12-22-01-02-40-513.jpg?preset=oglas-slika-view
54,"Garsonjera blizu STUC-a, namještena, 1300 kn s režijama",Osječko-baranjska,173,1300,15,11,86,Objava  21.12.2021.,https://www.index.hr/oglasi/garsonjera-blizu-stuc-a-namjestena-1300-kn-s-rezijama/oid/2222986,https://www.index.hr/oglasi/UserDocsImages/oglas/_2020//3//27/2222986/IMG20211002100959-021020211115355136.jpg?preset=oglas-slika-view
55,"Stan: Zagreb (Podsused), 40.00 m2, TIHOMILA VIDOŠIĆA, najam ! (iznajmljivanje)",Grad Zagreb,200,1503,40,5,37,Objava  21.12.2021.,https://www.index.hr/oglasi/stan-zagreb-podsused-40-00-m2-tihomila-vidosica-najam-iznajmljivanje/oid/3246137,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//21/3246137/120-211220211611343122.jpg?preset=oglas-slika-view
